date,value
2019/1/1,2959967.317
2019/2/1,1780398.076
2019/3/1,4089337.696
2019/4/1,4039384.232
2019/5/1,3999090.201
2019/6/1,3690722.928
2019/7/1,4229151.334
2019/8/1,4221701.04
2019/9/1,3945681.166
2019/10/1,3863910.306
2019/11/1,3639782.94
2019/12/1,3640262.808
2020/1/1,1969560.85
2020/2/1,1281213.247
2020/3/1,3273698.391
2020/4/1,3289650.784
2020/5/1,3652204.958
2020/6/1,3596907.197
2020/7/1,4008721.675
2020/8/1,4011647.683
2020/9/1,3973151.215
2020/10/1,3635615.419
2020/11/1,3601898.977
2020/12/1,3622566.79
2021/1/1,2846832.905
2021/2/1,1317150.2
2021/3/1,3696341.229
2021/4/1,3556437.767
2021/5/1,3607103.602
2021/6/1,3556694.069
2021/7/1,3563019.767
2021/8/1,3247239.219
